customer_state,seller_state,product_weight_g,product_length_cm,product_height_cm,product_width_cm,days_until_delivery
RJ,SP,1825,53,10,40,9
RJ,SP,700,65,18,28,9
RJ,SP,1825,53,10,40,11
RJ,SP,1825,53,10,40,12
RJ,SP,1825,53,10,40,14
RJ,SP,200,45,15,35,20
RJ,SP,17150,58,61,24,17
RJ,SP,550,60,10,40,32
SP,SP,950,45,15,35,6
SP,SP,950,45,15,35,6
SP,SP,950,45,15,35,8
SP,SP,950,45,15,35,14
SP,SP,15467,64,62,25,15
MG,SP,1825,53,10,40,11
SP,SP,15925,44,57,27,30
SP,SP,11880,50,60,27,12
SP,SC,10150,89,15,40,7
MG,SP,1825,53,10,40,16
RJ,SP,5350,40,20,40,9
SP,SP,16167,64,62,25,13
RS,SP,2600,40,45,39,29
SP,SP,11880,50,60,27,25
SP,SP,7100,37,41,37,11
RJ,SP,8633,42,64,43,19
MG,SP,700,65,18,28,32
MG,SP,950,45,15,35,14
SP,SP,21200,45,15,25,9
SP,SP,13550,58,55,24,9
MG,SP,9125,57,55,22,22
SP,SP,19800,45,15,35,11
SP,SP,13550,58,55,24,12
SP,SP,7575,52,52,17,6
BA,SP,10500,52,50,16,34
SP,SP,950,45,15,35,14
RJ,SP,11875,57,55,22,46
RJ,SP,11875,57,55,22,18
RS,SP,2600,40,45,39,14
SP,SP,27200,48,45,56,11
RS,SP,8975,35,52,36,23
SP,SP,9750,42,41,42,18
MG,SP,1825,53,10,40,13
SP,SC,10150,89,15,40,6
SP,SP,13350,57,56,22,19
PR,SP,7480,53,48,26,18
RJ,SP,11875,57,55,22,23
MG,SP,1825,53,10,40,16
MG,SP,20100,45,15,35,11
SP,SP,13350,57,56,22,22
MG,SP,12650,54,54,18,9
BA,SP,9725,53,52,17,28
SP,SP,8975,35,52,36,30
RJ,SP,16650,63,61,24,31
SP,SP,10500,53,73,18,30
RN,SP,10667,58,58,19,32
RJ,SP,13350,57,56,22,29
SP,SP,1150,45,15,35,10
RJ,SP,11875,57,55,22,33
MG,SP,12160,56,51,28,13
SP,SP,10500,53,73,18,13
SP,SP,8633,42,64,43,9
SP,SP,16150,63,62,24,10
CE,SP,11875,57,55,22,51
SP,SP,10500,53,73,18,9
RJ,SP,13350,57,56,22,36
SP,SP,11700,36,54,35,10
SP,SP,7125,52,52,17,7
SP,SP,9150,35,52,35,11
SP,SP,950,45,15,35,7
RJ,SP,9550,57,54,22,26
RJ,SP,1825,53,10,40,14
CE,SP,2600,40,45,39,30
SP,SP,11100,37,41,37,30
PR,SP,950,45,15,35,5
MG,SP,13350,57,56,22,20
RJ,SP,10475,52,51,17,13
SP,SP,7400,54,53,20,30
SP,SP,22800,48,45,56,11
